time2	OAPM10	OAPM2.5	OAPM1
2021-01-14 오후 12:02:13	78.2	49.5	37.8
2021-01-14 오후 12:03:13	79.4	51.8	38.5
2021-01-14 오후 12:04:13	83.4	53.4	38.5
2021-01-14 오후 12:05:13	78.9	51.4	39.5
2021-01-14 오후 12:06:13	81.1	51.7	38.6
2021-01-14 오후 12:07:13	79.5	51.7	38.3
2021-01-14 오후 12:08:13	83.4	51.5	38.3
2021-01-14 오후 12:09:13	80.8	51.5	37.4
2021-01-14 오후 12:10:13	77.9	51.1	38
2021-01-14 오후 12:11:13	80.2	50.8	38.2
2021-01-14 오후 12:12:13	81.4	52.4	38.8
2021-01-14 오후 12:13:13	78.5	50.9	38.2
2021-01-14 오후 12:14:13	79.3	49.7	37.3
2021-01-14 오후 12:15:13	81.7	52	38.8
2021-01-14 오후 12:16:13	78.9	50	38.2
2021-01-14 오후 12:17:13	82	51.3	38.3
2021-01-14 오후 12:18:13	85.4	50.5	37.7
2021-01-14 오후 12:19:13	77.7	48.8	37.6
2021-01-14 오후 12:20:13	77.5	49	36.4
2021-01-14 오후 12:21:13	79.2	50.2	36
2021-01-14 오후 12:22:13	75.1	47.4	35.4
2021-01-14 오후 12:23:13	73.4	47.5	35.3
2021-01-14 오후 12:24:13	78.8	47.9	35.4
2021-01-14 오후 12:25:13	69.9	46.2	33.2
2021-01-14 오후 12:26:13	68.1	45.1	32.7
2021-01-14 오후 12:27:13	68.7	43.4	32.9
2021-01-14 오후 12:28:13	70.1	43.9	32.3
2021-01-14 오후 12:29:13	69.5	42.8	32.1
2021-01-14 오후 12:30:13	69.3	43.2	32.2
2021-01-14 오후 12:31:13	65.2	44.1	31.9
2021-01-14 오후 12:32:13	69.2	43.7	32.1
2021-01-14 오후 12:33:13	68.1	42.8	32.3
2021-01-14 오후 12:34:13	72	42.9	32.9
2021-01-14 오후 12:35:13	69.1	44.1	33
2021-01-14 오후 12:36:13	67.6	41.6	31.6
2021-01-14 오후 12:37:13	69.7	42.3	31.6
2021-01-14 오후 12:38:13	68.6	44.2	32.2
2021-01-14 오후 12:39:13	70	41.8	30.7
2021-01-14 오후 12:40:13	65.2	40.9	30.4
2021-01-14 오후 12:41:13	72.7	44.5	33
2021-01-14 오후 12:42:13	77.3	46.6	34.4
2021-01-14 오후 12:43:13	70	44.1	32.7
2021-01-14 오후 12:44:13	69.8	43.4	32.9
2021-01-14 오후 12:45:13	68.2	43.6	32
2021-01-14 오후 12:46:13	68.1	42.8	31.3
2021-01-14 오후 12:47:13	66.9	42.9	31.2
2021-01-14 오후 12:48:13	68.1	42.8	31.6
2021-01-14 오후 12:49:13	69.6	42.1	31
2021-01-14 오후 12:50:13	65.2	41.8	32.1
2021-01-14 오후 12:51:13	73.6	42.5	31.3
2021-01-14 오후 12:52:13	67.7	39.4	29.1
2021-01-14 오후 12:53:13	70.5	41.6	30.4
2021-01-14 오후 12:54:13	69.2	43.8	32.2
2021-01-14 오후 12:55:13	73.2	43.7	33.1
2021-01-14 오후 12:56:13	70	43.3	32.5
2021-01-14 오후 12:57:13	73.8	44.4	33.5
2021-01-14 오후 12:58:13	61.8	40.8	30.6
2021-01-14 오후 12:59:13	60.7	37.3	28
2021-01-14 오후 1:00:13	63.3	37.8	27.5
2021-01-14 오후 1:01:13	65.2	39.6	27.9
2021-01-14 오후 1:02:13	63.1	39.2	28.1
2021-01-14 오후 1:03:13	68.2	38.9	27.2
2021-01-14 오후 1:04:13	61.2	38.4	27
2021-01-14 오후 1:05:13	61.6	35.8	26
2021-01-14 오후 1:06:13	62.8	34.6	25.7
2021-01-14 오후 1:07:13	61.6	35.3	25.6
2021-01-14 오후 1:08:13	62.5	35.3	25.2
2021-01-14 오후 1:09:13	59	36.7	25.1
2021-01-14 오후 1:10:13	61.3	34.9	24.9
2021-01-14 오후 1:11:13	56	34.7	24.4
2021-01-14 오후 1:12:13	61.4	35.8	25
2021-01-14 오후 1:13:13	59.9	35.3	25.1
2021-01-14 오후 1:14:13	65.5	36.4	25.2
2021-01-14 오후 1:15:13	61	35.2	24.8
2021-01-14 오후 1:16:13	59.9	35.5	24.8
2021-01-14 오후 1:17:13	58.1	35.1	25.2
2021-01-14 오후 1:18:13	55.8	35.3	25
2021-01-14 오후 1:19:13	63.8	36.7	25.6
2021-01-14 오후 1:20:13	63.6	36.7	26.1
2021-01-14 오후 1:21:13	60.2	36.2	25.4
2021-01-14 오후 1:22:13	61.5	36.6	25.3
2021-01-14 오후 1:23:13	60.9	35	25.1
2021-01-14 오후 1:24:13	61.8	36.2	25.5
2021-01-14 오후 1:25:13	60.7	36	24.9
2021-01-14 오후 1:26:13	60.3	34.6	25
2021-01-14 오후 1:27:13	59.8	36.9	25.6
2021-01-14 오후 1:28:13	60.5	35.7	25.9
2021-01-14 오후 1:29:13	59.4	36.6	25.8
2021-01-14 오후 1:30:13	63.2	36.1	26.1
2021-01-14 오후 1:31:13	63.7	36.7	26.1
2021-01-14 오후 1:32:13	64.3	36.6	26.3
2021-01-14 오후 1:33:13	62.6	38.3	26.9
2021-01-14 오후 1:34:13	66.6	37.6	27
2021-01-14 오후 1:35:13	62	40.5	28.6
2021-01-14 오후 1:36:13	67.8	38.9	28.8
2021-01-14 오후 1:37:13	66.1	41.4	29.5
2021-01-14 오후 1:38:13	66.5	38.5	28.1
2021-01-14 오후 1:39:13	60.8	39	28
2021-01-14 오후 1:40:13	62.3	38.1	26.9
2021-01-14 오후 1:41:13	65.1	38.1	27.1
2021-01-14 오후 1:42:13	67.6	40.2	29.8
2021-01-14 오후 1:43:13	70.8	38.4	28.4
2021-01-14 오후 1:44:13	63.7	39.3	27.5
2021-01-14 오후 1:45:13	64.6	38.2	27.3
2021-01-14 오후 1:46:13	64	39.9	27.4
2021-01-14 오후 1:47:13	66.3	40.2	27.7
2021-01-14 오후 1:48:13	63.6	36.6	26.3
2021-01-14 오후 1:49:13	70.9	38.7	27.2
2021-01-14 오후 1:50:13	59.3	37.4	26.9
2021-01-14 오후 1:51:13	58.7	35.1	24.6
2021-01-14 오후 1:52:13	62.2	35.2	24.5
2021-01-14 오후 1:53:13	60	33.2	24.3
2021-01-14 오후 1:54:13	63.9	35	24.1
2021-01-14 오후 1:55:13	58.1	35.5	24.5
2021-01-14 오후 1:56:13	63	36.2	24.4
2021-01-14 오후 1:57:13	63.4	36.2	23.7
2021-01-14 오후 1:58:13	60.6	34.9	23.8
2021-01-14 오후 1:59:13	58.9	36.4	25
2021-01-14 오후 2:00:13	62.6	37.8	25.6
2021-01-14 오후 2:01:13	58.8	36.2	25.5
2021-01-14 오후 2:02:13	63	36.6	25.4
2021-01-14 오후 2:03:13	65.2	35.9	24.6
2021-01-14 오후 2:04:13	65	35.5	25.7
2021-01-14 오후 2:05:13	59.9	35.8	25.1
2021-01-14 오후 2:06:13	66.4	35.7	25.5
2021-01-14 오후 2:07:13	63.3	38.2	25.6
2021-01-14 오후 2:08:13	63.5	37.5	26.4
2021-01-14 오후 2:09:13	67.2	36.8	25.6
2021-01-14 오후 2:10:13	63.5	35.8	25.8
2021-01-14 오후 2:11:13	61.6	38.9	26.5
2021-01-14 오후 2:12:13	61.1	36.2	26.4
2021-01-14 오후 2:13:13	63.4	36.2	25.8
2021-01-14 오후 2:14:13	62.2	35.8	25.8
2021-01-14 오후 2:15:13	67.7	39.7	27
2021-01-14 오후 2:16:13	69.6	40.4	28.6
2021-01-14 오후 2:17:13	67.7	39.4	26.6
2021-01-14 오후 2:18:13	64.7	36.6	26.6
2021-01-14 오후 2:19:13	61.5	38.6	26.5
2021-01-14 오후 2:20:13	60.8	36.5	25.4
2021-01-14 오후 2:21:13	61.3	37.9	25.7
2021-01-14 오후 2:22:13	67.5	38.8	26.6
2021-01-14 오후 2:23:13	65.9	37.4	26.7
2021-01-14 오후 2:24:13	68.2	38.8	26.3
2021-01-14 오후 2:25:13	62.6	35.3	25.9
2021-01-14 오후 2:26:13	66.9	38.1	26.4
2021-01-14 오후 2:27:13	65.6	36.7	26.4
2021-01-14 오후 2:28:13	64.7	36.8	26.3
2021-01-14 오후 2:29:13	63.2	37.7	26.4
2021-01-14 오후 2:30:13	61.7	37	26.2
2021-01-14 오후 2:31:13	66.9	38	26.2
2021-01-14 오후 2:32:13	63.3	35.8	25.9
2021-01-14 오후 2:33:13	69	38.7	25.8
2021-01-14 오후 2:34:13	62.4	37.3	25.6
2021-01-14 오후 2:35:13	65.5	37.7	26
2021-01-14 오후 2:36:13	65	38.2	26.5
2021-01-14 오후 2:37:12	65.9	37.9	26.5
2021-01-14 오후 2:38:12	66	37.6	26.6
2021-01-14 오후 2:39:12	67	39.2	26.8
2021-01-14 오후 2:40:12	65.8	38	26.8
2021-01-14 오후 2:41:13	70.5	38.9	27.2
2021-01-14 오후 2:42:13	68.7	38.3	26.5
2021-01-14 오후 2:43:12	67.9	37.4	26.8
2021-01-14 오후 2:44:13	69	38.5	27
2021-01-14 오후 2:45:13	69.8	40.1	27.1
2021-01-14 오후 2:46:12	65.1	37.8	26.9
2021-01-14 오후 2:47:12	64.6	39.1	26.7
2021-01-14 오후 2:48:13	65.9	38.9	26.9
2021-01-14 오후 2:49:12	69.2	39.5	27.3
2021-01-14 오후 2:50:12	66.6	38.1	26.7
2021-01-14 오후 2:51:12	66.6	38.8	27.2
2021-01-14 오후 2:52:12	69.4	37	27.1
2021-01-14 오후 2:53:12	64	37.9	26.6
2021-01-14 오후 2:54:12	69.6	40	27.2
2021-01-14 오후 2:55:12	75.9	40.1	27.3
2021-01-14 오후 2:56:12	70	40.4	27.2
2021-01-14 오후 2:57:12	66.7	37.9	26.2
2021-01-14 오후 2:58:12	67.7	37.7	26.5
2021-01-14 오후 2:59:12	63.4	39.1	27.2
2021-01-14 오후 3:00:12	68.3	39.6	27
2021-01-14 오후 3:01:12	70.6	39.1	26.9
2021-01-14 오후 3:02:12	66.5	37.4	25.3
2021-01-14 오후 3:03:12	62	34.8	25
2021-01-14 오후 3:04:12	64.1	38.3	26.1
2021-01-14 오후 3:05:12	70.1	38.9	27.1
2021-01-14 오후 3:06:12	69.5	39.1	26.5
2021-01-14 오후 3:07:12	67.9	38.3	26.7
2021-01-14 오후 3:08:12	79.8	39	26.7
2021-01-14 오후 3:09:12	72.6	39.7	26.8
2021-01-14 오후 3:10:12	74.2	39.2	26.5
2021-01-14 오후 3:11:12	74.4	38.8	27.1
2021-01-14 오후 3:12:12	69	39.8	27.3
2021-01-14 오후 3:13:12	74.5	39.5	26.4
2021-01-14 오후 3:14:12	72.8	41	27
2021-01-14 오후 3:15:12	76.1	40.1	27.4
2021-01-14 오후 3:16:12	74.5	39.7	27.2
2021-01-14 오후 3:17:12	74	40.3	27.2
2021-01-14 오후 3:18:12	76	41.1	27.1
2021-01-14 오후 3:19:12	70.4	37.7	26.4
2021-01-14 오후 3:20:12	67.5	37.5	25.8
